,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bylevel,param_colsample_bytree,param_eta,param_gamma,param_max_delta_step,param_max_depth,param_min_child_weight,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
1849,0.15481034914652506,0.015956979463810333,0.0,0.0,0.8,1,0.3,1,2,6,2,0.9,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 2, 'max_depth': 6, 'min_child_weight': 2, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
4785,0.14350215593973795,0.0006323151192594396,0.0,0.0,1,0.8,0.3,2,0,5,3,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.3, 'gamma': 2, 'max_delta_step': 0, 'max_depth': 5, 'min_child_weight': 3, 'subsample': 0.8}",0.9552238805970149,0.9393939393939394,0.9924242424242424,0.9623115577889447,0.02217757965576378,748
366,0.14434091250101724,0.007948233965122687,0.0,0.0,0.8,0.8,0.3,1,1,6,3,0.8,"{'colsample_bylevel': 0.8, 'colsample_bytree': 0.8, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.8}",0.9626865671641791,0.946969696969697,0.9772727272727273,0.9623115577889447,0.012342929781701614,748
1840,0.14445098241170248,0.00039072939571835113,0.0,0.0,0.8,1,0.3,1,2,5,2,0.9,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 2, 'max_depth': 5, 'min_child_weight': 2, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
15,0.15621042251586914,0.0,0.0,0.0,0.8,0.8,0.2,0,0,6,3,0.8,"{'colsample_bylevel': 0.8, 'colsample_bytree': 0.8, 'eta': 0.2, 'gamma': 0, 'max_delta_step': 0, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.8}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
5638,0.1483462651570638,0.008335916217938714,0.0,0.0,1,0.9,0.4,0,1,7,2,0.9,"{'colsample_bylevel': 1, 'colsample_bytree': 0.9, 'eta': 0.4, 'gamma': 0, 'max_delta_step': 1, 'max_depth': 7, 'min_child_weight': 2, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
1834,0.13657395044962564,0.008336888200777002,0.0,0.0,0.8,1,0.3,1,1,7,3,0.9,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
1833,0.1470464070638021,0.006503597276859886,0.0,0.0,0.8,1,0.3,1,1,7,3,0.8,"{'colsample_bylevel': 0.8, 'colsample_bytree': 1, 'eta': 0.3, 'gamma': 1, 'max_delta_step': 1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.8}",0.9701492537313433,0.9393939393939394,0.9772727272727273,0.9623115577889447,0.016404639537016614,748
4443,0.13538185755411783,0.00736400978657669,0.005207141240437825,0.007364009763419435,1,0.8,0.2,0,2,6,3,0.8,"{'colsample_bylevel': 1, 'colsample_bytree': 0.8, 'eta': 0.2, 'gamma': 0, 'max_delta_step': 2, 'max_depth': 6, 'min_child_weight': 3, 'subsample': 0.8}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
5641,0.16275413831075033,0.007481638986150437,0.0006648699442545573,0.0004706854304384754,1,0.9,0.4,0,1,7,3,0.9,"{'colsample_bylevel': 1, 'colsample_bytree': 0.9, 'eta': 0.4, 'gamma': 0, 'max_delta_step': 1, 'max_depth': 7, 'min_child_weight': 3, 'subsample': 0.9}",0.9626865671641791,0.9393939393939394,0.9848484848484849,0.9623115577889447,0.018511984856536014,748
